Name,Age,Country,CGPA,Skill,Program
Jeremy Krueger,17,Senegal,2.51,Python,BS Software Engineering
William Stewart,20,Aruba,2.79,Excel,BS Business Analytics
Christopher Hamilton,16,Solomon Islands,3.06,SQL,BS Business Analytics
Molly Johnson,25,Romania,2.23,SQL,BS Computer Science
Kelsey George,20,New Zealand,3.34,Python,BS Computer Science
Jodi Perez,20,Belgium,2.77,R,BS Data Science
Ronald Alvarez,24,Bouvet Island (Bouvetoya),2.48,Python,BS Data Science
Oscar Shepard,20,British Indian Ocean Territory (Chagos Archipelago),3.9,Excel,BS Business Analytics
Susan Osborne,17,Seychelles,2.58,SQL,BS Computer Science
Danielle Garcia,19,Gambia,2.91,Excel,BS Information Technology
Sara Gutierrez,25,Kuwait,3.02,Python,BS Data Science
Francisco Stephens,22,Timor-Leste,3.88,None,BBA
Karen Garcia,23,Macao,3.65,Python,BS Software Engineering
Elizabeth Stewart,20,Iran,3.56,None,BBA
Holly Burch,21,Madagascar,2.75,Financial Modelling,BS Accounting & Finance
Carol Boyd,22,Mali,3.17,Statistics,BS Data Science
Cindy Stone,20,Niger,2.33,Financial Modelling,BS Accounting & Finance
Richard Stanley,19,Nepal,3.2,R,BS Data Science
Carol Aguilar,22,Kazakhstan,2.18,Excel,BS Business Analytics
Rachel Patterson,25,Turks and Caicos Islands,3.05,Financial Modelling,BS Accounting & Finance
Wendy Cook,24,Saint Kitts and Nevis,3.31,Excel,BS Information Technology
Brady Rose,23,Syrian Arab Republic,2.43,Management,BBA
Natalie Henry,19,Morocco,3.49,Python,BS Computer Science
Bailey Osborn,17,Romania,2.89,Excel,BS Business Analytics
Ronald Lewis,16,South Georgia and the South Sandwich Islands,3.32,SQL,BS Computer Science
Taylor Ross,16,Romania,2.45,Python,BS Computer Science
Brandon Sawyer,22,Niue,2.85,SQL,BS Information Technology
Julie Howell,17,Jamaica,2.81,Management,BBA
Christopher Mclaughlin,22,Equatorial Guinea,2.92,Excel,BBA
Eric Carter,18,Bangladesh,2.34,Risk Management,BS Accounting & Finance
Stefanie Evans,19,Djibouti,2.43,Python,BS Computer Science
Heather Nichols,17,Malaysia,2.3,Statistics,BS Business Analytics
Juan Hines,20,Norway,2.06,Excel,BBA
Allen Henry,23,Botswana,3.3,Excel,BS Accounting & Finance
Cody Parker,18,Latvia,2.91,Python,BS Software Engineering
Jennifer Barron,21,Philippines,3.49,Python,BS Computer Science
Stephanie Martinez,22,British Virgin Islands,3.51,Python,BS Software Engineering
Rhonda Walker,25,Saint Barthelemy,3.59,SQL,BS Information Technology
Allison Miller,17,Tajikistan,3.01,Financial Modelling,BS Accounting & Finance
Mark Johnson,19,Honduras,3.6,Excel,BS Information Technology
Kimberly Dennis,21,Kenya,3.01,Statistics,BS Data Science
Mary Barnes,24,Faroe Islands,2.21,R,BS Data Science
Christopher Thompson,22,Montserrat,3.46,Management,BBA
Amanda Chavez,16,Guinea,3.06,Excel,BS Information Technology
Kevin Ross,23,Serbia,2.24,Management,BBA
Michael James,18,Saint Martin,3.61,Statistics,BS Data Science
Caitlin Carter,17,Isle of Man,3.62,Python,BS Software Engineering
Rodney Hernandez,24,Western Sahara,2.7,Risk Management,BS Accounting & Finance
Brittany Wolf,21,Monaco,3.75,SQL,BS Information Technology
Alexander Hoffman,23,Switzerland,3.61,Financial Modelling,BS Accounting & Finance
Kelli Wilson,20,Vietnam,3.27,Python,BS Software Engineering
Timothy Sandoval,25,Bulgaria,3.92,Excel,BS Accounting & Finance
Joanna Mcdaniel,25,Finland,3.14,Excel,BBA
Cheryl Chavez DVM,20,Romania,3.6,Excel,BS Accounting & Finance
James Rodriguez,24,Montenegro,3.49,None,BBA
Brenda Campbell,21,Lebanon,2.91,None,BBA
Melody Carter,19,Oman,2.41,Python,BS Software Engineering
Robert Mendoza,17,Ghana,2.51,SQL,BS Business Analytics
Luis Burton,24,Uzbekistan,2.3,Financial Modelling,BS Accounting & Finance
Paul Humphrey,16,Hong Kong,2.46,Excel,BS Business Analytics
John Walker,19,Cuba,3.73,Risk Management,BS Accounting & Finance
Brenda Burns,20,Russian Federation,2.54,Python,BS Data Science
Debra Klein,16,British Virgin Islands,2.26,SQL,BS Information Technology
Donald Miller,20,Samoa,2.59,SQL,BS Information Technology
Rachel Clark,20,Bangladesh,2.95,Statistics,BS Data Science
Ronald Reyes,19,Taiwan,3.86,Python,BS Software Engineering
Alex Adams,21,Bolivia,2.88,Python,BS Data Science
Mrs. Holly Harris MD,25,Comoros,3.89,SQL,BS Information Technology
Omar Powers,16,Switzerland,3.73,Excel,BBA
Katherine Deleon,17,Andorra,2.31,SQL,BS Information Technology
Natalie Moyer,25,Jersey,3.54,Excel,BS Accounting & Finance
Crystal Miller,19,Mexico,2.7,SQL,BS Computer Science
Jared Davis,23,Uruguay,2.07,Excel,BS Information Technology
Tara Cook,19,Senegal,3.74,Excel,BS Information Technology
Danielle Hatfield,20,Saint Pierre and Miquelon,3.21,None,BBA
Christina Smith,21,Andorra,2.32,Python,BS Data Science
Jason Whitney,25,Switzerland,2.68,Excel,BS Information Technology
Lisa Williams,25,Mali,2.91,Python,BS Software Engineering
James Wilson,19,San Marino,3.68,Management,BBA
Adam Mckinney,19,United Arab Emirates,3.86,Excel,BS Information Technology
Bradley Wright,25,Suriname,3.65,Python,BS Data Science
Curtis Wilson,17,Tajikistan,3.68,Risk Management,BS Accounting & Finance
Joshua Berry,18,Fiji,2.24,Python,BS Data Science
Madeline Hardy,20,Gabon,2.91,Financial Modelling,BS Accounting & Finance
Jose Thomas,20,Aruba,3.44,Python,BS Data Science
Michelle Murphy,20,American Samoa,2.35,Statistics,BS Data Science
Mary Parker,19,Czech Republic,2.6,Excel,BBA
Anthony Santos,21,Cayman Islands,3.02,Statistics,BS Business Analytics
Deborah Davis,20,Bosnia and Herzegovina,3.92,Python,BS Data Science
Richard Perry,17,New Caledonia,2.16,None,BBA
Jill Hobbs,20,Lithuania,3.31,Excel,BS Accounting & Finance
Robert Baker,16,Belgium,2.26,R,BS Data Science
Sandra Watson,17,Jamaica,3.17,R,BS Data Science
James Wilson,18,Taiwan,3.9,SQL,BS Business Analytics
Kayla Snyder,21,India,2.22,Excel,BBA
Cameron Meyer,21,Reunion,3.5,Excel,BBA
Jack Larson,20,Chad,2.85,Financial Modelling,BS Accounting & Finance
Dennis Peck,17,Martinique,3.82,Management,BBA
Charles Powell,22,Turks and Caicos Islands,2.47,Excel,BS Accounting & Finance
Christopher Mcdonald,21,Faroe Islands,2.37,Python,BS Software Engineering
Julia Mendoza,20,Taiwan,3.27,SQL,BS Information Technology
Mr. Thomas Hamilton,21,Svalbard & Jan Mayen Islands,2.44,Excel,BS Information Technology
William Anderson,21,Northern Mariana Islands,2.38,Python,BS Software Engineering
Shirley Morton,25,Western Sahara,2.38,Excel,BS Accounting & Finance
Michael Warren,22,Turkey,3.12,Python,BS Software Engineering
Amy Mendoza,25,Mali,2.08,Python,BS Software Engineering
Joseph Wolf,21,Afghanistan,3.52,SQL,BS Business Analytics
Amy Frost,21,Tonga,3.72,SQL,BS Computer Science
Cindy Garza,24,New Zealand,2.79,Excel,BS Information Technology
Vanessa Berry,17,Peru,3.23,Python,BS Software Engineering
Tracy Campos,24,Vanuatu,2.97,Excel,BBA
Keith Underwood,21,Peru,2.43,Financial Modelling,BS Accounting & Finance
Brad Barnes,22,Dominican Republic,2.19,Management,BBA
Austin Hinton,20,Indonesia,2.32,Python,BS Computer Science
Timothy Santos,20,Indonesia,3.19,Excel,BS Information Technology
Amber Russell,19,Guadeloupe,3.87,SQL,BS Information Technology
Bobby Bell,23,Benin,2.33,Statistics,BS Business Analytics
Breanna Bailey,23,Korea,3.18,None,BBA
Joy Rodriguez,19,Libyan Arab Jamahiriya,3.2,Python,BS Software Engineering
Karen Bowman,21,Sri Lanka,3.05,Excel,BS Information Technology
Melissa Gomez,22,Heard Island and McDonald Islands,3.51,Statistics,BS Data Science
Toni Vaughn,19,Tokelau,2.11,Python,BS Computer Science
Mrs. Christy Snow,16,Congo,2.71,Excel,BS Information Technology
Christopher Rose,19,Cook Islands,3.01,Python,BS Software Engineering
Maria Murphy,24,Romania,2.65,Python,BS Software Engineering
Victoria Holder,21,Uruguay,2.15,Statistics,BS Data Science
Martha Cox,17,Micronesia,2.82,None,BBA
Michael Reid,21,Venezuela,3.88,Python,BS Data Science
Alicia White,24,Algeria,3.14,Python,BS Software Engineering
Michelle Smith,23,Tuvalu,2.76,SQL,BS Business Analytics
Lance Foster,25,Costa Rica,3.27,Excel,BS Information Technology
Derek Taylor,25,Tokelau,2.95,SQL,BS Computer Science
Nancy Allen,17,Solomon Islands,2.96,Statistics,BS Business Analytics
Daniel Murphy,21,Tonga,3.3,None,BBA
Collin Mitchell,25,Gambia,2.66,SQL,BS Computer Science
Sean Cross,20,Falkland Islands (Malvinas),3.91,SQL,BS Information Technology
Tina Taylor,21,Thailand,2.62,Excel,BS Information Technology
Logan Wallace,19,Montserrat,3.44,Python,BS Software Engineering
Ronald Baxter,17,Venezuela,2.28,Python,BS Data Science
Sara Garza,20,Jordan,2.13,Excel,BS Information Technology
Melvin Hunt,18,Taiwan,2.65,Management,BBA
Miranda Phillips,25,Djibouti,2.39,R,BS Data Science
Cassie Gould,20,Malaysia,2.45,Excel,BS Information Technology
Samuel Robbins,23,Tanzania,3.33,None,BBA
Kathryn Maldonado,18,Antigua and Barbuda,3.36,Python,BS Software Engineering
Lauren Nichols,17,Namibia,2.13,Excel,BS Information Technology
Danny Clark,20,Northern Mariana Islands,2.22,SQL,BS Information Technology
Christopher Peterson,20,Iraq,3.43,Excel,BS Accounting & Finance
Brittany Rivera,21,Saint Vincent and the Grenadines,3.16,Excel,BS Accounting & Finance
Jessica Gutierrez,19,Armenia,3.91,Financial Modelling,BS Accounting & Finance
Jennifer Sanchez,19,Belarus,2.38,Management,BBA
Megan Short,20,Vietnam,3.56,Excel,BBA
Jennifer Harris,23,Belize,3.56,SQL,BS Computer Science
Beth Pitts,19,Mayotte,3.79,None,BBA
Sandra Bean,21,South Africa,2.43,Python,BS Computer Science
Blake Douglas,18,Bulgaria,2.73,Python,BS Software Engineering
Cathy Park,21,Bahamas,2.34,Excel,BBA
David Brown,23,Cambodia,2.59,Python,BS Computer Science
William Stuart,21,Philippines,3.62,SQL,BS Computer Science
Stephanie Lewis,21,United States Minor Outlying Islands,2.2,Risk Management,BS Accounting & Finance
Michelle Kennedy,22,Jersey,2.4,SQL,BS Business Analytics
Tyler Shaw,17,Bangladesh,3.99,Python,BS Computer Science
Bethany Bonilla,19,Iceland,2.1,Excel,BS Accounting & Finance
Heather Frye MD,21,Argentina,3.24,Python,BS Software Engineering
Steve Hernandez,23,Moldova,2.38,Python,BS Software Engineering
Brian Webster,23,South Georgia and the South Sandwich Islands,2.95,Python,BS Data Science
Jeffrey Cruz,20,Bangladesh,3.46,Excel,BS Information Technology
Suzanne Byrd,25,Uganda,2.23,Excel,BS Information Technology
Philip Pearson,24,Denmark,2.14,Excel,BS Information Technology
Monica Allison,23,French Southern Territories,2.43,None,BBA
Rachel Liu,17,Algeria,2.22,Python,BS Data Science
Charles Ortiz,21,Sudan,2.2,Python,BS Software Engineering
Diane Harrell,23,Morocco,3.12,Excel,BBA
Anthony Jones,16,Oman,3.36,Statistics,BS Business Analytics
Jeanette Young,19,Mali,2.82,Excel,BS Accounting & Finance
Erin Willis,16,Bangladesh,2.05,SQL,BS Computer Science
Joseph Evans,21,Gambia,2.26,Python,BS Software Engineering
Bradley Hopkins,22,Falkland Islands (Malvinas),3.68,Excel,BBA
Donald Thompson,18,Togo,2.52,Python,BS Computer Science
Amanda Cameron,20,Tajikistan,2.04,SQL,BS Computer Science
Michael Bryant,22,Turks and Caicos Islands,2.03,Statistics,BS Business Analytics
Tyler Owens,19,Reunion,3.5,None,BBA
Joanna Rhodes,20,Guinea-Bissau,3.31,Excel,BS Business Analytics
Chase Odonnell,20,Albania,3.9,SQL,BS Information Technology
Cody Alexander,21,Albania,3.56,SQL,BS Computer Science
Brian Larsen,25,Liberia,3.72,Excel,BBA
Christopher Lee,24,Nepal,2.08,Python,BS Data Science
Natasha Lewis,23,British Indian Ocean Territory (Chagos Archipelago),3.47,SQL,BS Computer Science
Raymond Daugherty,18,Cambodia,3.5,Statistics,BS Business Analytics
Alice Green,24,New Zealand,3.5,Python,BS Software Engineering
William Barber,16,Turkey,3.33,SQL,BS Computer Science
Benjamin Horton,22,Slovakia (Slovak Republic),3.3,Risk Management,BS Accounting & Finance
Peter Adams,16,Albania,2.49,Excel,BS Accounting & Finance
Teresa Garza,20,Isle of Man,3.11,Excel,BS Accounting & Finance
Kristen Stevenson,16,Honduras,2.34,Management,BBA
Matthew Anderson,18,Slovakia (Slovak Republic),3.69,Python,BS Computer Science
Michael Foster,24,Kenya,3.65,Excel,BS Business Analytics
David Mitchell,24,Sri Lanka,2.47,Python,BS Computer Science
Margaret Velazquez,21,Costa Rica,3.59,Statistics,BS Data Science
Jonathan Scott,17,Malta,3.18,Risk Management,BS Accounting & Finance
Jonathon Martinez,20,Belarus,2.15,Financial Modelling,BS Accounting & Finance
Sandra Patton,23,Korea,2.2,R,BS Data Science
Brenda Murphy,17,Croatia,3.08,SQL,BS Information Technology
Elizabeth Brown,20,Vietnam,2.96,Python,BS Computer Science
Toni Gonzalez,18,Canada,2.55,Management,BBA
Robert Jones,23,Swaziland,3.01,Python,BS Software Engineering
Suzanne Dunn,20,Estonia,3.46,Excel,BBA
Tanya Armstrong,18,Senegal,3.41,Excel,BS Business Analytics
Brandon Mcbride,16,Cyprus,2.04,Management,BBA
Mary Rodriguez,19,Maldives,3.18,SQL,BS Business Analytics
Philip Sharp,24,Bhutan,3.54,None,BBA
Ronald Faulkner,20,Ethiopia,2.74,Python,BS Computer Science
Vanessa Smith,16,Slovakia (Slovak Republic),3.87,Excel,BS Information Technology
Helen Miller,16,Tonga,2.92,Excel,BS Information Technology
Miss Elizabeth Price,23,Bahamas,3.77,SQL,BS Information Technology
Andrew Shaw,20,Senegal,2.88,Excel,BS Information Technology
Jennifer Griffith,19,Burundi,2.84,Python,BS Software Engineering
James Wells,21,Northern Mariana Islands,2.31,SQL,BS Information Technology
Monica Palmer,23,Cambodia,2.38,Excel,BBA
Anthony Alexander,16,Northern Mariana Islands,2.28,None,BBA
Julie Jackson,20,Hong Kong,2.71,SQL,BS Information Technology
Mrs. Jennifer Clark,17,Togo,3.93,Excel,BBA
Brian Clark,17,Western Sahara,2.69,Python,BS Software Engineering
John Bennett,22,Macao,2.29,Financial Modelling,BS Accounting & Finance
Christian Grant,24,Chad,2.59,Excel,BS Information Technology
Mr. Mark Smith,23,Palestinian Territory,2.66,SQL,BS Computer Science
Beverly Rodgers,24,Svalbard & Jan Mayen Islands,2.83,SQL,BS Information Technology
Erin Dorsey,21,Estonia,3.24,SQL,BS Information Technology
Kevin Murphy,23,Guinea,2.45,Excel,BBA
Sylvia Flores,17,Madagascar,3.84,Statistics,BS Business Analytics
Joseph Torres,23,Kiribati,3.57,Excel,BS Accounting & Finance
Steven King,25,Cook Islands,2.21,Python,BS Computer Science
Daniel Williams,22,Belarus,2.17,Python,BS Software Engineering
Justin Le,22,Seychelles,3.12,SQL,BS Business Analytics
Lindsey Morris,21,Spain,2.67,Excel,BS Accounting & Finance
Joseph Green,22,Israel,3.26,Python,BS Software Engineering
April Jones,16,Micronesia,2.02,Excel,BBA
Katrina Davis,16,Ethiopia,2.5,SQL,BS Computer Science
Lisa Reid,22,Haiti,2.63,SQL,BS Computer Science
Justin Moore,19,Iraq,3.65,Python,BS Software Engineering
Mary Murray,24,Croatia,2.96,SQL,BS Information Technology
Dr. Brittney Gates,17,Israel,2.08,None,BBA
Hunter Roach,21,Malta,3.79,Python,BS Computer Science
Dr. Andrew Marshall,21,Luxembourg,3.18,Python,BS Software Engineering
Miranda Abbott,20,Cook Islands,2.11,Risk Management,BS Accounting & Finance
Mikayla Steele,18,Vietnam,2,Excel,BS Information Technology
Frederick Casey,23,Saudi Arabia,2.13,Python,BS Software Engineering
Harold Brewer,18,Senegal,2.62,Financial Modelling,BS Accounting & Finance
Nicholas Davis,24,Moldova,2.48,Excel,BS Information Technology
Jonathan Leon,22,Antigua and Barbuda,2.63,Risk Management,BS Accounting & Finance
Samantha Smith,25,Fiji,2.49,Python,BS Computer Science
Diana Garcia,20,Micronesia,3.73,Python,BS Software Engineering
Victoria Ross,19,Ukraine,2.84,SQL,BS Computer Science
Christopher Palmer,18,Trinidad and Tobago,2.79,Python,BS Software Engineering
Robert Anderson,23,Peru,3.99,SQL,BS Computer Science
Anthony Griffin,20,Guernsey,2.21,Python,BS Software Engineering
Mary Smith,23,Congo,2.28,Python,BS Software Engineering
Dakota Scott,18,Mozambique,3.18,Excel,BS Information Technology
Jody Oconnell,22,Pitcairn Islands,2.08,Python,BS Computer Science
Mark Wang,19,Syrian Arab Republic,2.49,Python,BS Data Science
Jennifer Alvarez,21,Seychelles,2.33,Statistics,BS Business Analytics
Alex Dunlap,22,Cocos (Keeling) Islands,3.16,Python,BS Computer Science
Victoria Potter,18,Portugal,2.69,R,BS Data Science
Dustin Long,18,Chad,2.61,Python,BS Software Engineering
Kathleen Thomas,20,Botswana,2.46,Python,BS Software Engineering
Ryan Gonzales,25,Bhutan,2.55,Python,BS Software Engineering
Patricia Clark,25,Zimbabwe,3.35,SQL,BS Information Technology
Alison Silva,16,Tanzania,2.88,Excel,BS Accounting & Finance
Kimberly Evans,25,Spain,2.75,Risk Management,BS Accounting & Finance
Amber Mays,24,Kenya,3.45,Python,BS Data Science
Adam Chavez,18,Saint Barthelemy,2.79,SQL,BS Information Technology
John Vargas,19,Martinique,2.03,Management,BBA
Danielle Perry,21,Antigua and Barbuda,3.2,None,BBA
Michael Cisneros,20,Portugal,3.32,Python,BS Computer Science
Robert Galvan,19,Suriname,2.65,Python,BS Software Engineering
Sheila Sanchez MD,19,Armenia,3.86,SQL,BS Computer Science
Stephanie Peck,20,Japan,3.16,Python,BS Software Engineering
Stephanie Porter,23,Canada,3.28,R,BS Data Science
Ryan Watson,19,Korea,3.23,SQL,BS Business Analytics
Rebecca Johnson,22,Cape Verde,3.25,SQL,BS Computer Science
Jessica Sims,24,Mongolia,3.16,Excel,BS Information Technology
Joanna Thomas,24,Sao Tome and Principe,2.94,SQL,BS Information Technology
Sarah Mccall,20,Mauritania,3.3,Management,BBA
Eugene Jones,17,Samoa,2.35,SQL,BS Information Technology
Mitchell Johns,17,Nigeria,3.19,Statistics,BS Data Science
Mark Santiago,22,Afghanistan,2.42,Statistics,BS Business Analytics
Adriana Ross,21,Cote d'Ivoire,3.07,SQL,BS Computer Science
Randall Anderson,17,Poland,3.81,Python,BS Software Engineering
Samuel Harris,23,Wallis and Futuna,3.25,Financial Modelling,BS Accounting & Finance
Michelle Cook,21,Luxembourg,2.59,Excel,BS Information Technology
Christopher Villegas,20,Cyprus,2.09,Excel,BS Accounting & Finance
Raymond Moss,22,Sierra Leone,2.12,Excel,BS Accounting & Finance
Morgan Austin,25,Philippines,3.78,Excel,BS Business Analytics
Judith Collins,16,Qatar,2.52,R,BS Data Science
Carl Sweeney,16,Iraq,2.8,Excel,BS Information Technology
Jordan Curtis,24,Sweden,3.65,Excel,BS Information Technology
Maria Rios,19,Tajikistan,2.11,Excel,BS Information Technology
Aaron Martin Jr.,19,United States of America,2.69,SQL,BS Computer Science
Kristin Kirk,16,Niger,2.73,None,BBA
Kristy Zavala,20,Turkmenistan,2.84,Excel,BS Accounting & Finance
Christina Powers,20,Lesotho,2.52,Excel,BS Accounting & Finance
Hannah Wright,20,Guinea-Bissau,2.21,R,BS Data Science
Jessica Park,24,Tunisia,2.06,Management,BBA
Alexandra Dunn,23,Cyprus,3.06,Risk Management,BS Accounting & Finance
Martha David MD,18,Uruguay,2.31,Excel,BS Business Analytics
William Bennett,22,Romania,2.77,Python,BS Software Engineering
Heather Williams,21,Portugal,2.21,SQL,BS Computer Science
Christine Pittman MD,18,Belarus,2.8,Excel,BBA
Michael Miller,24,Lao People's Democratic Republic,2.06,Statistics,BS Data Science
Donna Frederick,22,Dominica,2.04,None,BBA
Sabrina White,19,Colombia,2.63,Statistics,BS Data Science
David Douglas,20,British Indian Ocean Territory (Chagos Archipelago),3.39,SQL,BS Computer Science
Eric Nguyen,22,South Africa,2.83,R,BS Data Science
Richard Grant,24,Honduras,2.58,Excel,BS Business Analytics
Mr. Michael Williams,24,Saudi Arabia,3.41,SQL,BS Information Technology
Heather Walls,22,Turkmenistan,2.56,Excel,BBA
Thomas Lewis,23,Russian Federation,3.87,R,BS Data Science
Jamie Pace,21,Jersey,2.78,Python,BS Computer Science
Matthew Smith,23,Bhutan,3.3,Excel,BS Information Technology
Russell Brown,17,Dominican Republic,3.3,Python,BS Software Engineering
Steven Cantu,20,Taiwan,2.18,Python,BS Software Engineering
Mrs. Kimberly Hicks DDS,21,Papua New Guinea,3.53,Excel,BS Information Technology
Valerie Rivas,17,Malawi,2.17,None,BBA
Steven Humphrey,22,Iraq,3.16,Excel,BBA
Michelle Payne,22,Guernsey,3.28,Python,BS Software Engineering
Philip Torres,16,Liberia,3.73,Python,BS Software Engineering
Patrick Richmond,17,Equatorial Guinea,3.16,Excel,BS Information Technology
Linda Bowen,21,Egypt,2.15,Management,BBA
Amanda Li,22,Ghana,2.04,R,BS Data Science
Megan Smith,16,Bahamas,2.54,Financial Modelling,BS Accounting & Finance
Joseph Bell,21,Swaziland,3.85,Python,BS Software Engineering
Peter Lawson,22,Niger,2.73,Excel,BS Accounting & Finance
Ashley Glover,22,United Kingdom,2.63,Statistics,BS Data Science
Tiffany Graves,24,Sweden,2.27,Excel,BS Accounting & Finance
Amy Vargas,20,Uzbekistan,2.55,R,BS Data Science
Julian Kidd,22,Zambia,2.6,Python,BS Software Engineering
Savannah Webb,24,Montenegro,3.42,Excel,BBA
Dr. Melinda Green,19,Philippines,2.69,SQL,BS Business Analytics
David Chandler,25,Philippines,3.95,Python,BS Computer Science
Wendy Harris,20,Sudan,3.97,SQL,BS Computer Science
Tracy Cain,24,Slovenia,3.78,Management,BBA
Brandon Compton,25,Costa Rica,3.25,Management,BBA
Paula Rowe DVM,21,Fiji,2.38,Excel,BBA
Lucas Becker,17,Niger,3.38,Financial Modelling,BS Accounting & Finance
Jacob Martinez,17,Indonesia,3.3,SQL,BS Information Technology
Brandon Jones,21,Puerto Rico,3.64,Python,BS Data Science
Angela Jacobs,17,Greenland,2.41,Statistics,BS Data Science
Joseph Duran,22,Finland,3.05,SQL,BS Business Analytics
Megan Farley,19,Serbia,3.46,R,BS Data Science
Jessica Kemp,17,Colombia,2.55,SQL,BS Computer Science
Larry Rich,18,United States of America,2.85,Excel,BBA
Dr. Carlos Miller,23,Cambodia,2.57,Financial Modelling,BS Accounting & Finance
John Fields,25,Niger,2.92,Excel,BS Information Technology
Mark Holmes,17,Cuba,3.37,Python,BS Computer Science
David Olson,20,Saint Lucia,3.15,Statistics,BS Business Analytics
Michelle Patterson,18,British Virgin Islands,2.81,None,BBA
Desiree Guzman,21,Micronesia,3.88,Python,BS Computer Science
Scott Ruiz,16,Andorra,2.45,SQL,BS Computer Science
Justin Roth,22,Isle of Man,3.97,Statistics,BS Business Analytics
Stephanie Baker,18,Belgium,2.29,Python,BS Data Science
Jennifer Mercado,24,India,2.54,SQL,BS Information Technology
Michele Miller,19,Guyana,2.76,None,BBA
Norman Wright,24,Aruba,3.24,Excel,BS Information Technology
Sergio Lucero,23,Latvia,3.58,Statistics,BS Business Analytics
Jared May,19,Costa Rica,2.99,Python,BS Software Engineering
Tiffany Flores,18,Malaysia,2.07,SQL,BS Business Analytics
Alfred Smith,18,Northern Mariana Islands,3.18,SQL,BS Business Analytics
Briana Montgomery,19,Tonga,3.76,Statistics,BS Data Science
Andrew Atkinson,16,Kyrgyz Republic,3.12,SQL,BS Information Technology
Walter Carpenter,23,Bouvet Island (Bouvetoya),2.43,Python,BS Computer Science
Jessica Smith,22,Lesotho,3.04,Python,BS Software Engineering
Erika Sherman,18,Malaysia,3.18,SQL,BS Computer Science
Emily Horton,22,Barbados,3.67,Management,BBA
Debra Barr,25,Afghanistan,2.58,Python,BS Data Science
Bradley White,20,Turkmenistan,2.78,Excel,BS Accounting & Finance
Shelia Burgess,20,Lao People's Democratic Republic,2.87,Management,BBA
Cory Hinton,23,Jersey,3.17,Python,BS Software Engineering
John Martinez,18,Guinea,3.83,Management,BBA
Ashley Garcia,20,Slovakia (Slovak Republic),3.59,SQL,BS Computer Science
Stephen Blankenship,25,United Kingdom,3.57,Python,BS Software Engineering
Emily Dougherty,17,Iceland,2.66,Python,BS Software Engineering
Cynthia Garrett,16,Honduras,2.74,Python,BS Data Science
Mallory Gilmore,24,Vietnam,2.03,SQL,BS Business Analytics
Joseph Ramirez,22,Morocco,2.97,Statistics,BS Business Analytics
John Harris,17,Cook Islands,3.3,Statistics,BS Data Science
Kevin Maxwell,20,Central African Republic,3.88,SQL,BS Business Analytics
Kevin Jackson,17,Benin,3.97,Financial Modelling,BS Accounting & Finance
Mary Foster,25,Luxembourg,2.8,Python,BS Data Science
Elijah Harrison,20,Trinidad and Tobago,2.74,Excel,BS Accounting & Finance
Nicholas Montgomery,21,Australia,3.42,Excel,BS Information Technology
Brianna Williams,23,South Africa,3.72,SQL,BS Information Technology
Laura Russell,17,Belize,3.92,Excel,BS Business Analytics
David Hansen,24,Tajikistan,2.25,None,BBA
Maria Parks,24,Germany,3.73,SQL,BS Computer Science
Kelly Cruz,22,Tunisia,2,SQL,BS Computer Science
Manuel Brown,25,Jordan,2.37,Python,BS Software Engineering
Michael Gonzales,25,Vanuatu,3.3,Python,BS Software Engineering
John Perez,21,Guyana,3.96,Python,BS Data Science
Michelle Owens,19,Montserrat,2.31,SQL,BS Computer Science
Randy Moran,18,Martinique,3.17,Risk Management,BS Accounting & Finance
Shari Greene,25,Tanzania,3.6,Python,BS Computer Science
Nicole Robertson,20,Montenegro,2.7,None,BBA
Christopher Clark,19,Jersey,2.63,SQL,BS Computer Science
Angela Brown,21,Mozambique,3.84,Statistics,BS Data Science
Nichole Aguilar,18,Chile,3.37,Statistics,BS Data Science
Kevin Serrano,20,Russian Federation,3.77,Excel,BS Business Analytics
Nicole Evans,21,Myanmar,2.59,Python,BS Software Engineering
Joseph Smith,23,Serbia,2.44,SQL,BS Information Technology
Noah Jones,19,North Macedonia,3.1,Statistics,BS Data Science
Troy Bryan,21,Turkey,2.32,Python,BS Software Engineering
Bridget Sandoval,19,Sweden,2.41,Excel,BS Information Technology
Julie Robinson,17,Oman,2.58,Financial Modelling,BS Accounting & Finance
Jeffrey Berry,19,Turks and Caicos Islands,2.98,Risk Management,BS Accounting & Finance
Christopher Edwards,20,Ukraine,2.82,Python,BS Data Science
Donald Wilson,21,Norfolk Island,3.43,SQL,BS Information Technology
Paige Hughes,20,Iceland,2.24,Python,BS Data Science
Jennifer Lopez,19,Malaysia,2.3,Risk Management,BS Accounting & Finance
Michaela Baird,23,Cook Islands,3.79,Python,BS Data Science
Thomas Johnson,24,Kiribati,2.27,Python,BS Software Engineering
Tyler Harris,18,Bahamas,2.42,Management,BBA
Janet Mullins,16,Marshall Islands,2.81,Python,BS Data Science
Deborah Davis,23,Moldova,3.79,R,BS Data Science
Matthew Collins,20,Cayman Islands,2.81,Excel,BS Information Technology
Susan Smith,17,Marshall Islands,2.93,Excel,BBA
Robert Bennett,24,Senegal,3.51,Management,BBA
Sheila Ellis,16,Gabon,3.09,SQL,BS Information Technology
Melissa Garner,18,Netherlands Antilles,2.04,Python,BS Software Engineering
Amber Wright,23,Lao People's Democratic Republic,2.76,Statistics,BS Business Analytics
James Dominguez,18,Congo,2.89,Python,BS Software Engineering
